Afghan SIV Placement by State,,,,,,,,,,,,,,,
Source: https://afghanrefugee.net/2019/11/04/afghan-siv-placement-by-state/,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
State,SIV Placement,Lat,Lon,,,,,,,,,state,latitude,longitude,name
Alabama,32,32.318231,-86.902298,,,,,,,,,AK,,,Alaska
Arizona,714,34.048928,-111.093731,,,63.588753,-154.493062,,,,,AL,,,Alabama
Arkansas,27,35.20105,-91.831833,,,19.898682,-155.665857,,,,,AR,,,Arkansas
California,22267,36.778261,-119.417932,,,,,,,,,AZ,,,Arizona
Colorado,1188,39.550051,-105.782067,,,,,,,,,CA,,,California
Connecticut,760,41.603221,-73.087749,,,,,,,,,CO,,,Colorado
Delaware,19,38.910832,-75.52767,,,,,,,,,CT,,,Connecticut
District of Columbia,18,38.905985,-77.033418,,,,,,,,,DC,,,District of Columbia
Florida,756,27.664827,-81.515754,,,,,,,,,DE,,,Delaware
Georgia,1131,32.157435,-82.907123,,,,,,,,,FL,,,Florida
Idaho,218,44.068202,-114.742041,,,,,,,,,GA,,,Georgia
Illinois,541,40.633125,-89.398528,,,,,,,,,HI,,,Hawaii
Indiana,80,40.551217,-85.602364,,,,,,,,,IA,,,Iowa
Iowa,127,41.878003,-93.097702,,,,,,,,,ID,,,Idaho
Kansas,173,,,,,,,,,,,IL,,,Illinois
Kentucky,272,,,,,,,,,,,IN,,,Indiana
Louisiana,43,,,,,,,,,,,KS,39.011902,-98.484246,Kansas
Maine,37,,,,,,,,,,,KY,37.839333,-84.270018,Kentucky
Maryland,3162,,,,,,,,,,,LA,31.244823,-92.145024,Louisiana
Massachusetts,365,,,,,,,,,,,MA,42.407211,-71.382437,Massachusetts
Michigan,363,,,,,,,,,,,MD,39.045755,-76.641271,Maryland
Minnesota,242,,,,,,,,,,,ME,45.253783,-69.445469,Maine
Mississippi,3,,,,,,,,,,,MI,44.314844,-85.602364,Michigan
Missouri,598,,,,,,,,,,,MN,46.729553,-94.6859,Minnesota
Nebraska,403,,,,,,,,,,,MO,37.964253,-91.831833,Missouri
Nevada,414,,,,,,,,,,,MS,32.354668,-89.398528,Mississippi
New Hampshire,18,,,,,,,,,,,MT,46.879682,-110.362566,Montana
New Jersey,392,,,,,,,,,,,NC,35.759573,-79.0193,North Carolina
New Mexico,145,,,,,,,,,,,ND,47.551493,-101.002012,North Dakota
New York,1886,,,,,,,,,,,NE,41.492537,-99.901813,Nebraska
North Carolina,687,,,,,,,,,,,NH,43.193852,-71.572395,New Hampshire
North Dakota,52,,,,,,,,,,,NJ,40.058324,-74.405661,New Jersey
Ohio,513,,,,,,,,,,,NM,34.97273,-105.032363,New Mexico
Oklahoma,26,,,,,,,,,,,NV,38.80261,-116.419389,Nevada
Oregon,608,,,,,,,,,,,NY,43.299428,-74.217933,New York
Pennsylvania,801,,,,,,,,,,,OH,40.417287,-82.907123,Ohio
Rhode Island,13,,,,,,,,,,,OK,35.007752,-97.092877,Oklahoma
South Carolina,69,,,,,,,,,,,OR,43.804133,-120.554201,Oregon
South Dakota,25,,,,,,,,,,,PA,41.203322,-77.194525,Pennsylvania
Tennessee,342,,,,,,,,,,,PR,18.220833,-66.590149,Puerto Rico
Texas,8960,,,,,,,,,,,RI,41.580095,-71.477429,Rhode Island
Utah,316,,,,,,,,,,,SC,33.836081,-81.163725,South Carolina
Vermont,3,,,,,,,,,,,SD,43.969515,-99.901813,South Dakota
Virginia,8308,,,,,,,,,,,TN,35.517491,-86.580447,Tennessee
Washington,3422,,,,,,,,,,,TX,31.968599,-99.901813,Texas
West Virginia,11,,,,,,,,,,,UT,39.32098,-111.093731,Utah
Wisconsin,157,,,,,,,,,,,VA,37.431573,-78.656894,Virginia
,,,,,,,,,,,,VT,44.558803,-72.577841,Vermont
,,,,,,,,,,,,WA,47.751074,-120.740139,Washington
,,,,,,,,,,,,WI,43.78444,-88.787868,Wisconsin
,,,,,,,,,,,,WV,38.597626,-80.454903,West Virginia
,,,,,,,,,,,,WY,43.075968,-107.290284,Wyoming
